"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Julio Rodriguez","STL","29","113","103","28","6","1","3","15","17","7","26","2","1",".266",".327",".432",".759",".328","999.0","","3.17","-1.50","1.61","sa917669"
"Whit Merrifield","KCR","150","659","608","171","35","5","15","91","68","41","102","25","7",".282",".331",".430",".762",".328","40.8","","1.36","1.38","1.35","11281"
"Josh Naylor","CLE","126","479","435","117","24","2","14","59","55","39","74","3","1",".268",".332",".427",".759",".328","506.3","","3.96","-0.66","0.58","18839"
"Jesus Aguilar","MIA","126","499","436","109","20","0","20","60","69","51","109","0","1",".250",".330",".433",".763",".328","431.6","","3.41","-0.29","0.42","11342"
"Nick Solak","TEX","133","556","496","132","23","2","16","68","62","47","116","13","3",".266",".336",".418",".753",".327","172.3","","2.30","2.20","0.59","19294"
"Alex Kirilloff","MIN","100","415","382","105","22","2","12","49","49","26","82","5","2",".274",".325",".439",".763",".327","300.9","","4.05","0.70","0.89","20325"
"Jorge Polanco","MIN","137","589","534","145","29","4","16","74","65","44","96","8","3",".272",".330",".430",".760",".327","259.7","","2.68","-0.02","0.52","13152"
"Jedd Gyorko","","53","186","165","40","6","0","9","22","24","19","46","1","0",".243",".323",".441",".763",".327","599.7","","3.22","-0.44","1.24","10816"
"Ramon Laureano","OAK","145","596","525","130","28","2","22","83","72","50","158","12","3",".247",".325",".434",".759",".327","144.5","","2.97","1.82","0.60","17128"
"Trevor Larnach","MIN","8","31","28","7","1","0","1","3","3","3","8","0","0",".260",".327",".433",".760",".327","999.0","","4.88","3.13","1.93","21501"
"Robbie Grossman","DET","129","506","439","110","24","3","12","62","51","59","95","13","3",".249",".342",".401",".744",".326","438.5","","2.53","-0.73","0.78","5254"
"Ryan McMahon","COL","132","518","464","113","23","2","21","62","70","48","160","3","2",".244",".318",".441",".760",".326","233.1","","4.37","-0.76","0.40","15112"
"Byron Buxton","MIN","129","498","462","117","26","4","24","70","71","26","131","16","5",".253",".297",".483",".781",".326","109.9","","3.85","-0.22","0.64","14161"
"Ty France","SEA","129","511","461","119","24","2","17","60","65","33","112","2","1",".258",".325",".428",".753",".326","252.9","","2.85","-0.19","0.33","17982"
"Danny Jansen","TOR","92","348","300","71","14","1","14","41","43","37","69","1","1",".235",".328",".422",".751",".326","364.6","","2.64","0.45","0.52","16535"
"Didi Gregorius","PHI","131","551","504","133","24","3","22","72","82","34","75","6","3",".263",".314",".453",".768",".326","164.3","","1.95","-1.67","0.34","6012"
"D.J. Stewart","BAL","84","334","285","65","13","1","13","41","40","40","88","3","2",".228",".330",".419",".749",".326","586.5","","4.61","0.09","0.60","17766"
"Dansby Swanson","ATL","147","631","563","144","31","3","23","93","78","56","155","12","4",".256",".328",".442",".770",".326","110.4","","3.07","-0.28","0.57","18314"
"Darin Ruf","SFG","39","147","130","32","6","0","5","17","19","14","34","1","1",".246",".328",".422",".751",".326","600.7","","3.37","1.31","1.43","9929"
"Austin Dean","STL","49","173","156","41","9","1","5","20","21","14","40","1","0",".262",".328",".424",".752",".325","999.0","","5.13","0.69","1.42","18288"
"Hunter Renfroe","BOS","117","455","409","94","21","1","26","59","66","38","128","5","1",".230",".298",".476",".774",".325","445.1","","2.72","0.32","0.76","15464"
"Renato Nunez","DET","59","246","221","54","10","0","11","30","34","19","63","0","0",".243",".312",".447",".759",".325","529.8","","10.72","0.57","0.94","14503"
"Aristides Aquino","CIN","47","174","158","37","7","1","9","23","26","13","52","3","1",".234",".300",".466",".767",".325","591.0","","5.53","1.16","1.21","15482"
"Jake Cronenworth","SDP","124","505","451","121","26","4","9","63","53","45","86","10","3",".268",".339",".405",".744",".325","217.6","","3.43","0.16","0.85","18036"
"Ryan Zimmerman","WSN","43","168","151","38","8","0","6","19","23","14","34","0","0",".255",".320",".435",".756",".325","597.7","","2.93","1.76","1.37","4220"
"Connor Joe","COL","6","23","20","5","1","0","1","3","3","3","5","0","0",".248",".339",".400",".739",".325","999.0","","3.59","3.50","1.94","16572"
"Shogo Akiyama","CIN","86","327","289","76","14","2","6","40","29","33","60","9","3",".264",".345",".391",".736",".324","571.8","","4.23","0.26","1.29","27461"
"Adam Eaton","CHW","127","545","478","123","23","4","13","72","51","49","96","11","3",".258",".338",".401",".740",".324","415.5","","2.73","-0.04","0.70","11205"
"Andrew Benintendi","KCR","137","577","498","126","28","4","14","69","61","65","131","12","5",".254",".345",".411",".756",".324","219.1","","4.18","-2.15","0.58","17901"
"Ryan Jeffers","MIN","76","270","244","62","11","0","10","29","32","22","73","0","0",".254",".324",".424",".748",".324","425.9","","2.94","-0.66","1.05","24618"
"Jean Segura","PHI","137","588","537","149","26","4","15","74","63","40","91","9","4",".277",".333",".420",".753",".324","194.2","","2.68","1.03","0.72","5933"
"Salvador Perez","KCR","123","501","472","123","24","1","26","59","79","18","106","2","1",".260",".296",".479",".775",".324","83.6","","1.83","-0.85","0.70","7304"
"Colin Moran","PIT","138","545","493","127","25","1","19","61","71","43","127","0","1",".258",".321",".431",".753",".324","541.8","","2.62","0.43","0.45","16909"
"Jarred Kelenic","SEA","111","469","424","106","22","3","17","57","54","38","112","14","4",".251",".316",".438",".754",".323","999.0","","4.89","0.43","0.81","22558"
"Matt Carpenter","STL","92","367","310","69","16","1","12","48","43","49","98","2","1",".224",".339",".404",".743",".323","593.3","","4.06","-0.57","0.34","8090"
"Ha-seong Kim","SDP","88","361","323","84","17","2","10","44","43","32","60","9","3",".259",".330",".416",".746",".323","999.0","","7.11","0.72","0.97","27506"
"Paul DeJong","STL","145","611","541","133","28","1","24","78","78","53","152","4","2",".245",".319",".432",".752",".322","250.8","","4.25","-0.51","0.63","18015"
"Eduardo Escobar","ARI","137","586","533","137","27","6","22","71","77","42","112","3","1",".257",".313",".450",".763",".322","314.1","","3.11","0.28","0.38","6153"
"Dylan Carlson","STL","144","586","526","131","29","5","19","73","71","50","141","11","5",".250",".319",".430",".749",".322","999.0","","4.77","0.38","0.42","20126"
"Logan Morrison","","18","69","61","14","3","0","4","9","10","7","17","0","0",".231",".313",".454",".767",".322","999.0","","3.08","1.79","1.69","9205"
"Pavin Smith","ARI","49","199","175","46","9","1","5","24","22","20","30","2","0",".263",".335",".408",".743",".322","597.4","","5.55","1.27","1.39","19892"
"Justin Upton","LAA","124","518","455","105","19","1","25","67","73","50","147","3","2",".231",".315",".441",".756",".322","348.2","","3.67","-0.07","0.79","5222"
"Zack Collins","CHW","83","313","263","56","11","1","11","35","38","46","102","1","0",".214",".335",".393",".729",".322","591.6","","4.51","0.79","0.60","19181"
"Daulton Varsho","ARI","68","261","234","58","11","3","8","36","29","22","57","8","2",".247",".322",".421",".743",".321","293.9","","3.09","-0.25","1.17","19918"
"Joshua Ockimey","BOS","12","46","40","8","2","0","2","5","5","6","16","0","0",".203",".313",".427",".740",".321","999.0","","4.66","2.46","1.78","sa829375"
"Edwin Rios","LAD","68","234","213","50","11","1","12","30","36","17","74","0","0",".236",".298",".459",".757",".321","519.0","","6.25","0.29","0.87","18316"
"Jose Martinez","NYM","10","34","30","8","1","0","1","4","4","3","8","0","0",".274",".344",".393",".738",".321","600.5","","4.22","3.08","1.93","7996"
"Jurickson Profar","SDP","111","446","396","98","20","2","14","55","54","39","66","10","2",".248",".325",".415",".740",".321","340.4","","5.17","0.48","0.60","10815"
"Mike Ford","NYY","37","136","121","28","6","0","6","17","19","14","26","0","0",".230",".312",".436",".748",".321","600.3","","5.28","1.56","1.36","15585"
"Wilson Ramos","DET","93","349","319","87","14","0","11","34","44","25","59","0","0",".271",".327",".420",".746",".321","258.7","","4.81","0.78","1.06","1433"
"Jay Bruce","","56","220","200","46","9","1","12","27","33","18","52","1","1",".228",".292",".467",".759",".321","569.8","","3.46","-0.29","0.96","9892"
"Willy Adames","MIL","134","540","485","121","25","2","18","65","59","49","160","6","3",".250",".322",".419",".741",".321","429.8","","1.76","0.01","0.16","15986"
"Brett Gardner","NYY","77","303","263","62","12","2","10","41","33","34","64","5","2",".236",".328",".412",".740",".321","573.0","","4.69","0.56","0.85","9927"
"Wander Franco","TBR","77","323","293","79","15","3","8","39","36","24","38","7","3",".270",".328",".418",".745",".321","999.0","","7.77","-0.21","1.18","sa3007033"
"Adam Duvall","MIA","119","468","423","96","20","2","26","57","67","35","125","1","1",".227",".295",".464",".759",".321","375.3","","4.18","0.39","0.83","10950"
"Nick Senzel","CIN","134","544","492","124","31","3","17","70","61","44","125","16","6",".252",".315",".430",".746",".321","202.3","","3.88","0.13","0.76","19293"
"Cesar Hernandez","CLE","139","601","538","145","27","3","10","77","55","55","116","5","2",".270",".341",".389",".730",".320","401.8","","2.52","0.13","0.79","10556"
"Khris Davis","TEX","78","309","273","63","11","0","16","38","44","28","86","0","0",".230",".310",".442",".752",".320","570.6","","4.09","1.30","0.62","9112"
"Tyler Stephenson","CIN","65","240","213","53","11","1","7","27","28","22","60","0","0",".250",".330",".402",".732",".320","512.4","","2.53","-0.21","1.12","17988"
"Austin Nola","SDP","89","351","311","78","16","1","11","40","43","32","72","1","1",".251",".328",".409",".736",".320","202.3","","3.40","0.22","0.68","15941"
"Kyle Lewis","SEA","145","613","541","131","23","1","23","77","74","63","185","8","2",".243",".322",".417",".739",".320","156.4","","5.01","1.60","0.59","19508"
"Kyle Seager","SEA","137","572","503","120","27","1","23","69","80","55","102","7","2",".239",".320",".435",".755",".320","295.6","","1.87","1.69","0.67","9785"
"Asdrubal Cabrera","ARI","86","359","320","80","17","2","12","41","48","32","71","1","0",".250",".320",".425",".745",".320","552.7","","4.39","-0.15","0.60","4962"
"Brent Rooker","","49","189","169","40","9","0","7","25","25","16","62","1","0",".238",".315",".425",".740",".320","594.2","","9.54","0.99","1.15","19627"
"Jonathan India","CIN","108","461","401","97","19","3","13","58","49","49","114","7","2",".241",".334",".400",".733",".320","999.0","","3.49","-0.25","0.45","21523"
"Derek Dietrich","NYY","17","51","45","10","2","0","2","7","6","4","14","0","0",".228",".318",".436",".754",".320","999.0","","7.08","0.17","1.79","10542"
"Miguel Andujar","NYY","52","197","184","49","11","1","7","24","25","10","32","1","0",".265",".305",".446",".751",".319","584.2","","7.51","0.38","1.33","15878"
"Matt Joyce","PHI","32","119","102","24","5","0","3","15","13","16","29","0","0",".234",".338",".383",".721",".319","600.1","","4.65","1.96","1.52","3353"
"Jonathan Schoop","DET","135","550","512","131","24","2","24","67","70","25","126","1","1",".255",".300",".451",".750",".319","389.4","","3.18","-0.99","0.46","11265"
"Eric Hosmer","SDP","144","615","562","147","25","1","22","75","88","45","132","7","2",".262",".318",".431",".749",".319","165.1","","1.84","-0.19","0.44","3516"
"Luis Campusano","SDP","21","84","75","19","4","0","2","9","10","6","18","0","0",".259",".330",".400",".730",".319","999.0","","3.80","3.11","1.74","22217"
"Dylan Moore","SEA","134","527","467","110","23","2","18","67","54","46","140","23","10",".236",".320",".414",".733",".319","125.2","","4.17","-0.28","1.46","18042"
"Carson Kelly","ARI","112","420","369","88","18","0","16","44","52","39","87","0","0",".240",".318",".422",".740",".319","264.0","","3.00","1.41","0.46","13620"
"Miguel Cabrera","DET","119","498","444","115","18","1","16","52","63","47","104","1","0",".260",".333",".410",".743",".319","554.2","","4.10","-0.68","0.50","1744"
"Raimel Tapia","COL","138","547","507","144","28","6","8","69","52","32","112","19","5",".283",".328",".411",".739",".319","226.9","","2.72","-0.35","1.45","14350"
"Corey Dickerson","MIA","131","541","502","135","28","4","18","63","62","33","97","3","2",".268",".315",".443",".757",".319","448.7","","2.29","0.69","0.46","10762"
"Ian Desmond","COL","54","200","182","44","10","1","8","26","25","16","48","3","1",".242",".305",".441",".746",".318","601.0","","0.91","0.79","1.19","6885"
"Mitch Moreland","OAK","102","400","356","84","17","1","18","49","58","39","90","0","0",".236",".313",".443",".756",".318","542.4","","4.80","0.15","0.42","3086"
"Yonathan Daza","COL","46","185","173","50","10","2","3","20","18","9","30","4","2",".287",".324",".414",".738",".318","999.0","","3.83","3.34","1.72","15794"
"Ryan McBroom","KCR","30","109","100","25","5","0","4","13","13","8","32","0","0",".252",".312",".426",".738",".318","599.5","","5.33","0.82","1.60","16524"
"Jaylin Davis","SFG","8","35","32","8","2","0","1","4","4","3","11","0","0",".237",".307",".433",".740",".318","999.0","","4.42","2.27","1.88","19552"
"Nick Madrigal","CHW","128","520","482","143","24","3","4","59","49","28","34","16","6",".296",".343",".382",".725",".318","192.7","","5.95","0.13","1.75","20521"
"Omar Narvaez","MIL","95","350","306","75","12","0","11","36","37","38","81","0","0",".244",".334",".389",".723",".317","328.9","","2.39","-0.06","0.74","13338"
"Tim Locastro","ARI","88","304","271","70","15","3","5","44","27","21","58","15","3",".258",".332",".390",".721",".317","540.7","","4.42","0.11","1.59","15124"
"Jackie Bradley Jr.","MIL","128","522","458","108","22","2","19","65","58","51","134","10","4",".236",".323",".414",".737",".317","426.2","","4.31","0.25","0.62","12984"
"Starlin Castro","WSN","127","538","502","137","25","3","18","63","66","28","98","2","1",".272",".312",".436",".748",".317","454.2","","3.42","0.87","0.59","4579"
"Taylor Ward","LAA","32","121","108","27","5","0","3","15","13","12","33","2","0",".249",".329",".394",".724",".317","599.9","","6.89","0.65","1.61","17548"
"Christian Vazquez","BOS","119","464","426","111","21","1","15","54","55","32","94","6","3",".260",".315",".422",".736",".317","151.1","","3.99","0.22","0.50","9774"
"Avisail Garcia","MIL","104","436","396","102","19","1","15","50","52","31","105","4","3",".259",".321",".422",".743",".317","413.4","","3.59","0.33","0.56","5760"
"Yoenis Cespedes","","19","80","73","17","3","0","4","10","12","6","25","0","0",".236",".299",".464",".763",".317","596.6","","4.52","-0.47","1.64","13110"
"Javier Baez","CHC","152","633","594","154","31","4","28","84","88","29","181","11","5",".259",".298",".465",".763",".317","71.8","","2.62","-0.98","0.44","12979"
"Matt Beaty","LAD","38","139","128","33","7","0","4","17","17","9","24","1","0",".258",".317",".416",".733",".317","601.0","","2.40","2.69","1.51","17710"
"Maikel Franco","BAL","123","491","450","114","21","1","21","52","67","35","75","1","1",".253",".306",".445",".752",".317","440.9","","1.93","-0.52","0.55","12179"
"Enrique Hernandez","BOS","121","449","404","99","22","2","17","58","58","36","91","3","1",".244",".309",".435",".744",".317","377.1","","2.48","0.55","0.16","10472"
"Franchy Cordero","BOS","107","395","354","85","20","3","15","52","50","32","104","8","3",".241",".304",".440",".744",".316","466.3","","2.75","-0.16","0.59","14567"
"Lorenzo Cain","MIL","120","515","460","124","22","2","10","66","44","47","85","11","5",".270",".343",".390",".733",".316","298.1","","2.89","-0.59","1.05","9077"
"Kevin Padlo","TBR","7","27","23","5","1","0","1","3","3","3","8","1","0",".218",".324",".393",".717",".316","999.0","","7.56","1.29","1.92","16593"
"Harrison Bader","STL","126","447","389","89","17","3","15","61","46","44","134","13","4",".229",".322",".405",".727",".316","550.8","","3.41","0.65","0.91","18030"
"Bobby Bradley","CLE","56","230","207","47","10","0","12","27","31","20","79","0","0",".224",".296",".445",".742",".316","592.4","","5.53","0.88","0.94","17278"
"Jon Berti","MIA","102","413","359","90","16","2","7","54","36","43","98","24","5",".250",".342",".366",".707",".316","311.0","","6.32","-0.40","1.83","12037"
"David Bote","CHC","100","369","323","75","14","2","13","43","49","38","100","4","2",".232",".321",".404",".725",".315","542.2","","3.39","0.61","0.53","14593"
"David Fletcher","LAA","139","611","556","157","31","3","6","78","51","45","66","8","3",".282",".338",".380",".718",".315","235.9","","3.29","-0.57","1.29","17992"
"Willie Calhoun","TEX","116","473","430","107","21","2","18","51","60","33","75","1","1",".249",".305",".431",".736",".314","497.5","","4.96","-0.08","0.40","17838"
"Christian Arroyo","BOS","52","208","190","49","11","1","7","25","25","14","46","1","1",".255",".313",".424",".737",".314","600.7","","5.52","-0.62","1.26","16434"
"Harold Ramirez","CLE","17","70","65","17","3","0","2","8","8","4","14","0","0",".266",".316",".410",".726",".314","999.0","","5.72","2.24","1.80","14387"
"Chance Sisco","BAL","72","261","225","50","10","0","9","29","27","27","82","0","0",".220",".324",".386",".710",".314","571.1","","2.66","0.57","0.87","15694"
"Austin Listi","PHI","8","32","29","7","1","0","1","4","4","3","8","0","0",".236",".319",".397",".716",".314","999.0","","6.42","1.50","1.89","sa3004170"
"Andy Young","ARI","21","76","68","16","3","0","3","9","9","5","21","0","0",".236",".314",".408",".721",".314","999.0","","4.05","2.58","1.71","19521"
"Matt Adams","COL","15","55","51","11","2","0","3","6","8","4","17","0","0",".227",".287",".454",".741",".314","999.0","","3.38","2.16","1.74","9393"
"Adam Frazier","PIT","136","555","503","131","27","4","12","66","53","41","80","4","4",".261",".324",".400",".724",".314","523.2","","2.90","-0.10","0.50","15223"
"Mauricio Dubon","SFG","122","476","439","117","21","2","13","54","49","29","87","10","5",".266",".315",".413",".727",".314","294.9","","3.21","0.26","0.84","16530"
"Mike Tauchman","SFG","46","156","136","33","7","1","4","21","17","16","32","5","1",".241",".326",".393",".718",".314","581.8","","3.82","3.05","1.48","15274"
"Amed Rosario","CLE","114","453","427","117","21","5","11","55","49","20","90","9","5",".275",".310",".420",".730",".313","434.0","","2.11","2.47","0.97","15518"
"Yuli Gurriel","HOU","135","565","522","138","31","2","16","67","71","30","67","2","2",".265",".308",".424",".732",".313","358.7","","3.59","-0.24","0.46","19198"
"Austin Hays","BAL","113","466","432","111","20","2","17","61","50","26","97","7","4",".257",".304",".426",".730",".313","250.6","","4.13","1.58","0.48","19363"
"Edwin Encarnacion","","59","252","220","48","9","0","12","33","37","26","65","0","0",".216",".307",".429",".736",".313","596.5","","5.24","0.51","0.69","2151"
"Sam Hilliard","COL","109","426","389","90","16","4","18","52","48","33","141","11","3",".233",".297",".435",".732",".313","328.8","","4.60","-0.15","0.81","17954"
"Kurt Suzuki","LAA","69","267","238","60","12","0","8","30","36","19","38","1","0",".253",".318",".411",".729",".313","514.0","","1.98","-0.06","1.00","8259"
"Travis Shaw","MIL","84","326","284","64","12","0","13","35","39","37","87","1","1",".227",".320",".412",".732",".313","564.8","","5.46","-0.04","0.65","11982"
"Tommy Edman","STL","134","568","522","138","25","5","13","74","57","35","107","13","5",".264",".318",".404",".721",".313","129.2","","2.44","0.34","0.76","19470"
"Willi Castro","DET","130","542","496","132","23","5","13","64","61","30","130","6","3",".266",".314",".412",".726",".313","232.0","","4.23","1.59","0.52","17338"
"John Nogowski","STL","14","55","49","12","2","0","1","6","6","6","8","0","0",".249",".330",".380",".710",".313","999.0","","3.93","1.71","1.82","16852"
"Donovan Solano","SFG","128","507","474","134","27","2","7","54","55","25","95","1","1",".283",".323",".395",".719",".313","541.0","","3.09","-1.46","1.15","8623"
"Josh VanMeter","ARI","32","122","109","26","6","1","4","15","13","11","28","3","1",".239",".314",".406",".720",".312","601.0","","4.61","1.25","1.58","15170"
"Isaac Paredes","DET","52","200","180","46","9","1","4","21","20","17","33","1","1",".257",".326",".386",".712",".312","593.1","","4.43","0.63","1.40","20036"
"Kolten Wong","MIL","141","574","502","131","23","4","10","68","54","50","90","15","5",".261",".340",".381",".722",".312","244.8","","2.43","-0.47","1.00","12532"
"Ben Gamel","PIT","70","252","225","56","13","2","5","30","24","25","67","2","1",".250",".327",".386",".714",".312","999.0","","3.84","-0.22","1.16","12160"
"Aledmys Diaz","HOU","89","333","304","77","17","1","12","42","42","21","53","2","1",".254",".307",".427",".733",".312","599.6","","6.11","0.55","0.70","15937"
"Victor Robles","WSN","153","615","550","137","28","4","16","81","62","37","150","22","7",".250",".316",".402",".718",".312","118.7","","3.75","-1.99","1.24","18363"
"Chad Pinder","OAK","93","328","298","73","15","1","12","40","39","23","79","1","1",".243",".305",".417",".722",".312","581.0","","2.72","0.72","0.65","15191"
"Luis Urias","MIL","123","475","420","105","21","3","9","53","47","43","109","5","3",".250",".330",".376",".707",".311","492.4","","3.71","-1.71","0.55","16622"
"Pablo Sandoval","ATL","27","99","90","22","4","0","4","12","13","7","21","0","0",".245",".308",".414",".722",".311","600.7","","2.96","0.00","1.60","5409"
"Jake Cave","MIN","77","283","257","62","12","2","9","36","34","19","90","1","1",".242",".305",".417",".722",".311","599.1","","4.32","0.32","0.82","14477"
"Ryan O'Hearn","KCR","51","189","167","37","8","0","7","19","24","20","52","0","0",".223",".307",".412",".719",".311","600.1","","3.62","2.05","1.16","16442"
"Carter Kieboom","WSN","89","362","316","77","14","1","7","43","38","39","91","2","1",".243",".335",".363",".698",".311","527.6","","7.32","-0.60","0.65","19958"
"Michael Chavis","BOS","66","265","241","57","11","1","11","31","34","19","81","3","1",".236",".298",".427",".725",".311","540.3","","5.29","0.50","0.92","17321"
"Deivy Grullon","TBR","8","30","27","6","1","0","1","3","4","3","9","0","0",".230",".297",".426",".723",".311","598.5","","4.98","2.92","1.89","15988"
"Wyatt Mathisen","TBR","15","58","51","12","2","0","2","7","7","5","18","0","0",".230",".320",".385",".705",".310","999.0","","3.44","2.14","1.76","14555"
"Andrelton Simmons","MIN","129","539","499","138","27","2","9","66","55","33","55","10","3",".275",".324",".387",".711",".310","516.1","","2.40","-0.28","0.97","10847"
"Tyler O'Neill","STL","134","511","462","106","20","1","23","66","68","41","156","7","2",".229",".296",".428",".725",".310","382.9","","3.23","-1.10","0.74","15711"
"Andrew Vaughn","CHW","129","552","489","118","23","1","15","61","66","52","110","1","1",".242",".322",".386",".708",".310","999.0","","5.47","0.28","0.29","26197"
"Willians Astudillo","MIN","29","102","97","27","4","0","3","12","13","3","6","0","0",".275",".303",".423",".726",".310","580.7","","6.72","0.59","1.72","15608"
"Josh Rojas","ARI","96","404","359","89","19","3","8","50","40","38","83","11","5",".248",".321",".390",".711",".310","441.5","","9.46","0.79","1.01","19734"
"Ronald Guzman","TEX","67","249","222","52","10","1","9","28","29","22","70","2","1",".234",".310",".404",".714",".310","579.8","","2.94","1.02","0.99","14388"
"Buster Posey","SFG","104","420","376","99","19","1","7","44","43","36","62","1","1",".263",".333",".373",".706",".309","249.9","","1.12","-0.95","0.85","9166"
"Josh Reddick","ARI","88","346","314","81","15","1","9","38","38","28","58","2","1",".257",".317",".398",".715",".309","600.0","","6.39","-0.06","0.89","3892"
"Victor Caratini","SDP","84","288","256","63","13","1","7","29","33","26","63","0","0",".247",".324",".383",".707",".309","530.1","","2.00","-0.03","0.97","14968"
"Brandon Marsh","LAA","21","91","81","20","4","1","2","11","9","9","24","3","1",".245",".326",".373",".699",".309","590.6","","2.91","0.28","1.74","sa917944"
"Jake Bauers","CLE","87","350","305","70","17","1","10","41","38","38","90","5","3",".229",".318",".390",".707",".309","587.0","","2.80","0.80","0.71","15194"
"J.P. Crawford","SEA","138","587","514","126","24","4","10","73","56","60","117","14","4",".246",".330",".368",".698",".309","528.4","","2.27","0.43","0.92","15491"
"Adam Haseley","PHI","86","315","282","73","14","1","6","35","34","23","65","2","1",".259",".323",".384",".707",".309","592.6","","2.97","1.06","1.03","19878"
"Matt Kemp","","26","99","91","22","4","0","4","12","14","7","27","1","0",".247",".304",".435",".739",".309","999.0","","4.36","2.00","1.61","5631"
